Names	!color
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00010	#006699
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00020	#006699
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00030	#006699
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00040	#006699
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00050	#006699
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00060	#006699
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00070	#006699
Halobacteriales|Euryarchaeota|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium_salinarum|GCA_000006805-GCA_000006805_00080	#006699
