Names	!color
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_002731655	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_002731905	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_002731935	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon_CG01_land_8_20_14_3_00_38_12-GCA_002781385	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon_CG_4_9_14_3_um_filter_38_12-GCA_002790055	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003132625	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003133305	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003136455	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003137055	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003138595	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003139235	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003139855	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003139895	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003141075	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003141775	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003142045	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003142655	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003154225	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003155735	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003155755	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003155855	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003155875	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003156255	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003156955	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003157355	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003157805	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003158275	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003158935	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003159405	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003159635	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003159695	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003160575	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003161665	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003161735	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003161795	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003162075	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003162175	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003162195	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003162535	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003162745	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003163455	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003163595	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003165375	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003166275	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003167795	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003168395	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003168415	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003168515	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003168535	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003168795	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003169565	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003170615	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003170775	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003170935	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003171015	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003171385	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003193625	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003193805	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003193815	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003193825	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003193835	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003193905	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003193925	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003202535	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003202575	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003202585	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003229275	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003229935	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003230355	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003552645	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003661645	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003694965	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003695745	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003696825	#006699
Euryarchaeota-none-none-none-none-Euryarchaeota_archaeon-GCA_003820275	#006699
Crenarchaeota-Thermoprotei-Geoarchaeales-Geoarchaeaceae-none-Geoarchaeota_archaeon_OSPB-1-Ga0009305	#FF6633
Crenarchaeota-Thermoprotei-Geoarchaeales-Geoarchaeaceae-none-Geoarchaeota_NAG1_GT1_r03-Ga0021372	#FF6633
Crenarchaeota-Thermoprotei-Geoarchaeales-Geoarchaeaceae-none-Geoarchaeota_GBS-NAG1-Ga0213453	#FF6633
Crenarchaeota-Thermoprotei-Geoarchaeales-Geoarchaeaceae-none-Crenarchaeota_archaeon_SCGC_AAA471-B05-GCA_000380705	#FF6633
Crenarchaeota-Thermoprotei-Geoarchaeales-Geoarchaeaceae-none-Crenarchaeota_archaeon_SCGC_AAA471-O08-GCA_000398765	#FF6633
Crenarchaeota-Thermoprotei-Geoarchaeales-Geoarchaeaceae-none-Crenarchaeota_archaeon_SCGC_AAA471-C03-GCA_000402895	#FF6633
Crenarchaeota-Thermoprotei-Geoarchaeales-Geoarchaeaceae-none-crenarchaeote_JGI-OTU-1-GCA_000494205	#FF6633
Geothermarchaeota-none-none-none-Candidatus_Geothermarchaeota-Candidatus_Geothermarchaeota_archaeon_B21_G17-B21_G17	#ff0066
Geothermarchaeota-none-none-none-none-Geothermarchaeota_archaeon_JdFR-13-GCA_002011075	#ff0066
Geothermarchaeota-none-none-none-none-Geothermarchaeota_archaeon_JdFR-14-GCA_002011085	#ff0066
Geothermarchaeota-none-none-none-none-Geothermarchaeota_archaeon_ex4572_27-GCA_002412205	#ff0066
Euryarchaeota-Hadesarchaea-none-none-none-Hadesarchaea_archaeon_DG-33-GCA_001515185	#006699
Euryarchaeota-Hadesarchaea-none-none-none-Hadesarchaea_archaeon_DG-33-1-GCA_001515195	#006699
Euryarchaeota-Hadesarchaea-none-none-none-Hadesarchaea_archaeon_YNP_45-GCA_001515205	#006699
Euryarchaeota-Hadesarchaea-none-none-none-Hadesarchaea_archaeon_YNP_N21-GCA_001515215	#006699
Euryarchaeota-Hadesarchaea-none-none-none-Hadesarchaea_archaeon_CG08_land_8_20_14_0_20_51_8-GCA_002779005	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halapricum-Halapricum_salinum-GCA_000755225	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_marismortui-GCA_000011085	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_hispanica-GCA_000223905	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_amylolytica-GCA_000336615	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_japonica-GCA_000336635	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_argentinensis-GCA_000336895	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sinaiiensis-GCA_000337275	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_californiae-GCA_000337755	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_vallismortis-GCA_000337775	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_hispanica-GCA_000504565	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_salaria-GCA_000815385	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sp_CBA1115-GCA_000827835	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_rubripromontorii-GCA_001280425	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sp_CBA1128-GCA_001485555	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sp_CBA1127-GCA_001485575	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sp_K1-GCA_001647155	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_taiwanensis-GCA_002844335	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_quadrata-GCA_003634715	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sp_Atlit-120R-GCA_003665885	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sp_Atlit-47R-GCA_003665985	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_sp_Atlit-7R-GCA_003666065	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_salaria-GCA_003992425	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Haloarcula-Haloarcula_vallismortis-GCA_900106715	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halomicrobium-Halomicrobium_mukohataei-GCA_000023965	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halomicrobium-Halomicrobium_katesii-GCA_000379085	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halomicrobium-Halomicrobium_mukohataei-GCA_003992375	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halomicrobium-Halomicrobium_zhouii-GCA_900114435	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorhabdus-Halorhabdus_utahensis-GCA_000023945	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorhabdus-Halorhabdus_tiamatea-GCA_000215915	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorhabdus-Halorhabdus_tiamatea-GCA_000470655	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorientalis-Halorientalis_sp_IM1011-GCA_001989615	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorientalis-Halorientalis_regularis-GCA_900102305	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorientalis-Halorientalis_persicus-GCA_900110215	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halosimplex-Halosimplex_carlsbadense-GCA_000337455	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halosimplex-Halosimplex_sp_YPL4-GCA_003730195	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Natronomonas-Natronomonas_pharaonis-GCA_000026045	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Natronomonas-Natronomonas_moolapensis-GCA_000591055	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Natronomonas-Natronomonas_sp_CBA1134-GCA_001950595	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-none-Haloarculaceae_archaeon_HArcel1-GCA_003058365	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haladaptatus-Haladaptatus_paucihalophilus-GCA_000187225	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haladaptatus-Haladaptatus_paucihalophilus-GCA_000376445	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haladaptatus-Haladaptatus_cibarius-GCA_000710615	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haladaptatus-Haladaptatus_sp_R4-GCA_001625445	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haladaptatus-Haladaptatus_sp_W1-GCA_001723155	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haladaptatus-Haladaptatus_paucihalophilus-GCA_900142335	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haladaptatus-Haladaptatus_litoreus-GCA_900156425	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halalkalicoccus-Halalkalicoccus_jeotgali-GCA_000196895	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halalkalicoccus-Halalkalicoccus_jeotgali-GCA_000337255	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halalkalicoccus-Halalkalicoccus_jeotgali-GCA_000485535	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halalkalicoccus-Halalkalicoccus_paucihalophilus-GCA_001593955	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halanaeroarchaeum-Halanaeroarchaeum_sulfurireducens-GCA_001011115	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halanaeroarchaeum-Halanaeroarchaeum_sulfurireducens-GCA_001305655	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halarchaeum-Halarchaeum_acidiphilum-GCA_000400975	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halarchaeum-Halarchaeum_acidiphilum-GCA_000474235	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halarchaeum-Halarchaeum_sp_CBA1220-GCA_003721175	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Haloarchaeobius-Haloarchaeobius_iranensis-GCA_900103505	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_salinarum-GCA_000006805	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_salinarum-GCA_000069025	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_sp_DL1-GCA_000230955	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_sp_CBA1132-GCA_001485535	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_001488575	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_900003505	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_900003515	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_900003525	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_900003565	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_900003575	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_900004275	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_hubeiense-GCA_900005775	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halobacterium-Halobacterium_jilantaiense-GCA_900110535	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halodesulfurarchaeum-Halodesulfurarchaeum_formicicum-GCA_001767315	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halodesulfurarchaeum-Halodesulfurarchaeum_formicicum-GCA_001886955	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halomarina-Halomarina_oriensis-GCA_003862495	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halorussus-Halorussus_rarus-GCA_003369835	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halorussus-Halorussus_sp_HD8-51-GCA_003382685	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halostella-Halostella_salina-GCA_003675855	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halovenus-Halovenus_sp_-GCA_003551265	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halovenus-Halovenus_sp_-GCA_003551945	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halovenus-Halovenus_sp_-GCA_003554325	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Halovenus-Halovenus_aranensis-GCA_900100385	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-Natronoarchaeum-Natronoarchaeum_philippinense-GCA_900215575	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-none-Halobacteriaceae_archaeon_Tc-Br11_E2g27-GCA_001564135	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-none-Halobacteriaceae_archaeon-GCA_003552705	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halobacteriaceae-none-Halobacteriaceae_archaeon_SHR37-GCA_003670115	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_hamelinensis-GCA_000259215	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_agarilyticus-GCA_000334895	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_hamelinensis-GCA_000336675	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_morrhuae-GCA_000336695	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_thailandensis-GCA_000336715	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_saccharolyticus-GCA_000336915	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_salifodinae-GCA_000336935	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_sediminicola-GCA_000755245	#006699
Euryarchaeota-Halobacteria-Halobacteriales-Halococcaceae-Halococcus-Halococcus_sp_IIIV-5B-GCA_003602035	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-halophilic_archaeon_J07HX5-GCA_000415945	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-halophilic_archaeon_J07HX64-GCA_000416085	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-halophilic_archaeon_J07HB67-GCA_000416105	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-haloarchaeon_3A1_DGR-GCA_000447865	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_6_64_34-GCA_003020925	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_6_71_20-GCA_003020945	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_4_69_225-GCA_003020965	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_4_70_19-GCA_003020985	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_1_69_70-GCA_003021005	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_4_66_20-GCA_003021015	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_4_69_34-GCA_003021045	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_1_68_44-GCA_003021055	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_1_68_20-GCA_003021085	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_1_68_17-GCA_003021105	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_7_68_42-GCA_003021115	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_9_66_26-GCA_003021145	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_7_66_37-GCA_003021165	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_7_66_36-GCA_003021175	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_6_66_25-GCA_003021205	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_3_68_24-GCA_003021225	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_6_64_20-GCA_003021235	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_2_66_30-GCA_003021245	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_2_65_14-GCA_003021285	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_10_67_22-GCA_003021305	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_10_70_21-GCA_003021325	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_10_67_13-GCA_003021335	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_1_68_42-GCA_003021365	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_4_69_31-GCA_003021655	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_4_62_28-GCA_003021685	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_3_64_16-GCA_003021705	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_8_64_26-GCA_003021725	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_7_69_31-GCA_003021745	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_8_67_36-GCA_003021755	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_7_65_31-GCA_003021785	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_6_68_27-GCA_003021795	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_5_70_17-GCA_003021975	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_5_70_15-GCA_003022005	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_1_67_19-GCA_003022025	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_8_67_27-GCA_003022045	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_8_68_33-GCA_003022055	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QH_10_65_19-GCA_003022085	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_9_67_24-GCA_003022685	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_7_65_23-GCA_003022725	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_9_67_25-GCA_003022745	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_8_65_20-GCA_003022765	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_7_68_16-GCA_003022785	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_7_71_33-GCA_003022805	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_5_68_122-GCA_003022815	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_10_66_29-GCA_003022845	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_5_70_135-GCA_003022865	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_SW_12_71_31-GCA_003022885	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_9_68_42-GCA_003022905	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_8_65_32-GCA_003022925	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_8_69_73-GCA_003022945	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_9_67_15-GCA_003023165	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_9_67_17-GCA_003023185	#006699
Euryarchaeota-Halobacteria-Halobacteriales-none-none-Halobacteriales_archaeon_QS_8_69_26-GCA_003023195	#006699
