Names	!color
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_JGI_0000001-B8-GCA_000405765	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-F17-GCA_000405905	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_SCGC_AAA471-I13-GCA_000405925	#ff3333
Aigarchaeota-none-none-none-none-Aigarchaeota_archaeon_NZ13_MG1-GCA_003056285	#ff3333
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG2_30_32_3053-GCA_001873845	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG12_big_fil_rev_8_21_14_0_65_33_22-GCA_002762655	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG_4_8_14_3_um_filter_33_2054-GCA_002783845	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG03_land_8_20_14_0_80_32_618-GCA_002785505	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG_4_9_14_0_8_um_filter_32_206-GCA_002789105	#00cccc
Euryarchaeota-none-Altiarchaeales-none-Altiarchaeum-Altiarchaeum_sp_CG_4_10_14_0_8_um_filter_32_851-GCA_002791795	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_WOR_SM1_79-GCA_001723835	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_WOR_SM1_SCG-GCA_001723845	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_WOR_SM1_86-2-GCA_001723855	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_IMC4-GCA_001742785	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_A3-GCA_002083985	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_ex4484_96-GCA_002254405	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_ex4484_2-GCA_002254565	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_ex4484_43-GCA_002254945	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_HGW-Altiarchaeales-2-GCA_002841095	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_HGW-Altiarchaeales-1-GCA_002841105	#00cccc
Euryarchaeota-none-Altiarchaeales-none-none-Altiarchaeales_archaeon_HGW-Altiarchaeales-3-GCA_002842715	#00cccc
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_000008665	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_profundus-GCA_000025285	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_veneficus-GCA_000194625	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sulfaticallidus-GCA_000385565	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_000734035	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_001508745	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_001508815	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-22-GCA_002010045	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-26-GCA_002010115	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-23-GCA_002010125	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-31-GCA_002010155	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-30-GCA_002010165	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-32-GCA_002010195	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-33-GCA_002010205	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-37-GCA_002010215	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-36-GCA_002010225	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-40-GCA_002010275	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-41-GCA_002010285	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-39-GCA_002010295	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-25-GCA_002011195	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-24-GCA_002011215	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-27-GCA_002011235	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-28-GCA_002011245	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-29-GCA_002011255	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-34-GCA_002011295	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-35-GCA_002011315	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_JdFR-38-GCA_002011335	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_UBA234-GCA_002494625	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_UBA236-GCA_002494665	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_UBA231-GCA_002507315	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_sp_UBA230-GCA_002507545	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus-Archaeoglobus_fulgidus-GCA_900069765	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Ferroglobus-Ferroglobus_placidus-GCA_000025505	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Geoglobus-Geoglobus_acetivorans-GCA_000789255	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Geoglobus-Geoglobus_ahangari-GCA_001006045	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Geoglobus-Geoglobus_sp_UBA235-GCA_002494725	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Geoglobus-Geoglobus_sp_UBA232-GCA_002507275	#006699
Euryarchaeota-Archaeoglobi-Archaeoglobales-none-none-Archaeoglobales_archaeon_ex4484_92-GCA_002254865	#006699
Euryarchaeota-Archaeoglobi-none-none-none-Archaeoglobi_archaeon_JdFR-42-GCA_002010305	#006699
Bathyarchaeota-none-none-none-none-miscellaneous_Crenarchaeota_group-1_archaeon_SG8-32-3-GCA_001273335	#CC0000
Bathyarchaeota-none-none-none-none-miscellaneous_Crenarchaeota_group-1_archaeon_SG8-32-1-GCA_001273345	#CC0000
Bathyarchaeota-none-none-none-none-miscellaneous_Crenarchaeota_group_archaeon_SMTZ1-55-GCA_001273375	#CC0000
